WB_country_code,WB_country_name,Latitude,Longitude,year,medals_cumsum
ARG,Argentina,-34.58,-58.67,1976,6
ARM,Armenia,40.17,44.5,1976,0
AUS,Australia,-35.27,149.13,1976,81
AUT,Austria,48.2,16.37,1976,12
AZE,Azerbaijan,40.38,49.87,1976,0
BDI,Burundi,-3.37,29.35,1976,0
BEL,Belgium,50.83,4.33,1976,18
BFA,Burkina Faso,12.37,-1.52,1976,0
BGR,Bulgaria,42.68,23.32,1976,72
BHR,Bahrain,26.23,50.57,1976,0
BHS,Bahamas,25.08,-77.35,1976,2
BLR,Belarus,53.9,27.57,1976,0
BMU,Bermuda,32.28,-64.78,1976,1
BRA,Brazil,-15.78,-47.92,1976,12
BRB,Barbados,13.1,-59.62,1976,0
BWA,Botswana,-24.63,25.9,1976,0
CAN,Canada,45.42,-75.7,1976,27
CHE,Switzerland,46.92,7.47,1976,24
CHL,Chile,-33.45,-70.67,1976,0
CHN,China,39.92,116.38,1976,2
CIV,Côte d'Ivoire,6.82,-5.27,1976,0
CMR,Cameroon,3.87,11.52,1976,1
COL,Colombia,4.6,-74.08,1976,3
CRI,Costa Rica,9.93,-84.08,1976,0
CUB,Cuba,23.12,-82.35,1976,26
CYP,Cyprus,35.17,33.37,1976,0
CZE,Czech Republic,49.81,15.47,1976,53
DEU,Germany,52.52,13.4,1976,407
DJI,Djibouti,11.58,43.15,1976,0
DNK,Denmark,55.67,12.58,1976,27
DOM,Dominican Republic,18.47,-69.9,1976,0
DZA,Algeria,36.75,3.05,1976,0
ECU,Ecuador,-0.22,-78.5,1976,0
EGY,Egypt,30.05,31.25,1976,2
ERI,Eritrea,15.33,38.93,1976,0
ESP,Spain,40.4,-3.68,1976,5
EST,Estonia,59.43,24.72,1976,0
ETH,Ethiopia,9.03,38.7,1976,6
FIN,Finland,60.17,24.93,1976,29
FJI,Fiji,-18.13,178.42,1976,0
FRA,France,48.87,2.33,1976,61
GAB,Gabon,0.38,9.45,1976,0
GBR,Great Britain,54.08,-1.65,1976,89
GEO,Georgia,41.68,44.83,1976,0
GHA,Ghana,5.55,-0.22,1976,3
GRC,Greece,37.98,23.73,1976,4
GRD,Grenada,12.05,-61.75,1976,0
GTM,Guatemala,14.62,-90.52,1976,0
GUY,Guyana,6.8,-58.15,1976,0
HKG,Hong Kong,22.4,114.11,1976,0
HRV,Croatia,45.8,16.0,1976,0
HUN,Hungary,47.5,19.08,1976,143
IDN,Indonesia,-6.17,106.82,1976,0
IND,India,28.6,77.2,1976,4
IRL,Ireland,53.32,-6.23,1976,1
IRN,Iran,35.7,51.42,1976,16
IRQ,Iraq,33.33,44.4,1976,1
ISL,Iceland,64.15,-21.95,1976,0
ISR,Israel,31.77,35.23,1976,0
ITA,Italy,41.9,12.48,1976,114
JAM,Jamaica,18.0,-76.8,1976,6
JOR,Jordan,31.95,35.93,1976,0
JPN,Japan,35.68,139.75,1976,126
KAZ,Kazakhstan,51.17,71.42,1976,0
KEN,Kenya,-1.28,36.82,1976,19
KGZ,Kyrgyzstan,42.87,74.6,1976,0
KOR,South Korea,37.55,126.98,1976,12
KWT,Kuwait,29.37,47.97,1976,0
LBN,Lebanon,33.87,35.5,1976,1
LKA,Sri Lanka,6.92,79.83,1976,0
LTU,Lithuania,54.68,25.32,1976,0
LVA,Latvia,56.95,24.1,1976,0
MAR,Morocco,34.02,-6.82,1976,1
MDA,Moldova,47.0,28.85,1976,0
MEX,Mexico,19.43,-99.13,1976,14
MKD,North Macedonia,41.6,21.74,1976,0
MNE,Montenegro,42.43,19.27,1976,0
MNG,Mongolia,47.92,106.92,1976,6
MOZ,Mozambique,-25.95,32.58,1976,0
MUS,Mauritius,-20.15,57.48,1976,0
MYS,Malaysia,3.17,101.7,1976,0
NAM,Namibia,-22.57,17.08,1976,0
NER,Niger,13.52,2.12,1976,1
NGA,Nigeria,9.08,7.53,1976,2
NLD,Netherlands,52.35,4.92,1976,35
NOR,Norway,59.92,10.75,1976,13
NZL,New Zealand,-41.3,174.78,1976,19
PAK,Pakistan,33.68,73.05,1976,6
PAN,Panama,8.97,-79.53,1976,0
PER,Peru,-12.05,-77.05,1976,0
PHL,Philippines,14.6,120.97,1976,1
POL,Poland,52.25,21.0,1976,113
PRI,Puerto Rico,18.47,-66.12,1976,1
PRK,North Korea,39.02,125.75,1976,7
PRT,Portugal,38.72,-9.13,1976,4
PRY,Paraguay,-25.27,-57.67,1976,0
QAT,Qatar,25.28,51.53,1976,0
ROU,Romania,44.43,26.1,1976,86
RUS,Russia,55.75,37.6,1976,540
SAU,Saudi Arabia,24.65,46.7,1976,0
SDN,Sudan,15.6,32.53,1976,0
SEN,Senegal,14.73,-17.63,1976,0
SGP,Singapore,1.28,103.85,1976,1
SMR,San Marino,43.93,12.42,1976,0
SRB,Serbia,44.83,20.5,1976,0
SUR,Suriname,5.83,-55.17,1976,0
SVK,Slovakia,48.15,17.12,1976,0
SVN,Slovenia,46.05,14.52,1976,0
SWE,Sweden,59.33,18.05,1976,44
SYR,Syria,33.5,36.3,1976,0
TGO,Togo,6.12,1.22,1976,0
THA,Thailand,13.75,100.52,1976,1
TJK,Tajikistan,38.55,68.77,1976,0
TKM,Turkmenistan,37.95,58.38,1976,0
TON,Tonga,-21.13,-175.2,1976,0
TTO,Trinidad and Tobago,10.65,-61.52,1976,4
TUN,Tunisia,36.8,10.18,1976,5
TUR,Turkey,39.93,32.87,1976,18
TZA,Tanzania,-6.8,39.28,1976,0
UGA,Uganda,0.32,32.55,1976,4
UKR,Ukraine,50.43,30.52,1976,0
URY,Uruguay,-34.85,-56.17,1976,1
USA,United States,38.88,-90.0,1976,468
UZB,Uzbekistan,41.32,69.25,1976,0
VEN,Venezuela,10.48,-66.87,1976,3
VIR,United States Virgin Islands,18.35,-64.93,1976,0
VNM,Vietnam,21.03,105.85,1976,0
WSM,Samoa,-13.82,-171.77,1976,0
XKX,Kosovo,42.67,21.17,1976,0
YGL,Yugoslavia,44.83,20.5,1976,28
ZAF,South Africa,-25.7,28.22,1976,3
ZMB,Zambia,-15.42,28.28,1976,0
ZWE,Zimbabwe,-17.82,31.03,1976,0
AFG,Afghanistan,34.52,69.18,1980,0
ARE,United Arab Emirates,24.47,54.37,1980,0
ARG,Argentina,-34.58,-58.67,1980,6
ARM,Armenia,40.17,44.5,1980,0
AUS,Australia,-35.27,149.13,1980,90
AUT,Austria,48.2,16.37,1980,17
AZE,Azerbaijan,40.38,49.87,1980,0
BDI,Burundi,-3.37,29.35,1980,0
BEL,Belgium,50.83,4.33,1980,19
BFA,Burkina Faso,12.37,-1.52,1980,0
BGR,Bulgaria,42.68,23.32,1980,115
BHR,Bahrain,26.23,50.57,1980,0
BHS,Bahamas,25.08,-77.35,1980,2
BLR,Belarus,53.9,27.57,1980,0
BMU,Bermuda,32.28,-64.78,1980,1
BRA,Brazil,-15.78,-47.92,1980,18
BRB,Barbados,13.1,-59.62,1980,0
BWA,Botswana,-24.63,25.9,1980,0
CAN,Canada,45.42,-75.7,1980,27
CHE,Switzerland,46.92,7.47,1980,26
CHL,Chile,-33.45,-70.67,1980,0
CHN,China,39.92,116.38,1980,2
CIV,Côte d'Ivoire,6.82,-5.27,1980,0
CMR,Cameroon,3.87,11.52,1980,1
COL,Colombia,4.6,-74.08,1980,3
CRI,Costa Rica,9.93,-84.08,1980,0
CUB,Cuba,23.12,-82.35,1980,46
CYP,Cyprus,35.17,33.37,1980,0
CZE,Czech Republic,49.81,15.47,1980,68
DEU,Germany,52.52,13.4,1980,541
DJI,Djibouti,11.58,43.15,1980,0
DNK,Denmark,55.67,12.58,1980,33
DOM,Dominican Republic,18.47,-69.9,1980,0
DZA,Algeria,36.75,3.05,1980,0
ECU,Ecuador,-0.22,-78.5,1980,0
EGY,Egypt,30.05,31.25,1980,2
ERI,Eritrea,15.33,38.93,1980,0
ESP,Spain,40.4,-3.68,1980,14
EST,Estonia,59.43,24.72,1980,0
ETH,Ethiopia,9.03,38.7,1980,10
FIN,Finland,60.17,24.93,1980,38
FJI,Fiji,-18.13,178.42,1980,0
FRA,France,48.87,2.33,1980,75
GAB,Gabon,0.38,9.45,1980,0
GBR,Great Britain,54.08,-1.65,1980,111
GEO,Georgia,41.68,44.83,1980,0
GHA,Ghana,5.55,-0.22,1980,3
GRC,Greece,37.98,23.73,1980,7
GRD,Grenada,12.05,-61.75,1980,0
GTM,Guatemala,14.62,-90.52,1980,0
GUY,Guyana,6.8,-58.15,1980,1
HKG,Hong Kong,22.4,114.11,1980,0
HRV,Croatia,45.8,16.0,1980,0
HUN,Hungary,47.5,19.08,1980,179
IDN,Indonesia,-6.17,106.82,1980,0
IND,India,28.6,77.2,1980,5
IRL,Ireland,53.32,-6.23,1980,4
IRN,Iran,35.7,51.42,1980,16
IRQ,Iraq,33.33,44.4,1980,1
ISL,Iceland,64.15,-21.95,1980,0
ISR,Israel,31.77,35.23,1980,0
ITA,Italy,41.9,12.48,1980,130
JAM,Jamaica,18.0,-76.8,1980,9
JOR,Jordan,31.95,35.93,1980,0
JPN,Japan,35.68,139.75,1980,126
KAZ,Kazakhstan,51.17,71.42,1980,0
KEN,Kenya,-1.28,36.82,1980,19
KGZ,Kyrgyzstan,42.87,74.6,1980,0
KOR,South Korea,37.55,126.98,1980,12
KWT,Kuwait,29.37,47.97,1980,0
LBN,Lebanon,33.87,35.5,1980,2
LKA,Sri Lanka,6.92,79.83,1980,0
LTU,Lithuania,54.68,25.32,1980,0
LVA,Latvia,56.95,24.1,1980,0
MAR,Morocco,34.02,-6.82,1980,1
MDA,Moldova,47.0,28.85,1980,0
MEX,Mexico,19.43,-99.13,1980,18
MKD,North Macedonia,41.6,21.74,1980,0
MNE,Montenegro,42.43,19.27,1980,0
MNG,Mongolia,47.92,106.92,1980,10
MOZ,Mozambique,-25.95,32.58,1980,0
MUS,Mauritius,-20.15,57.48,1980,0
MYS,Malaysia,3.17,101.7,1980,0
NAM,Namibia,-22.57,17.08,1980,0
NER,Niger,13.52,2.12,1980,1
NGA,Nigeria,9.08,7.53,1980,2
NLD,Netherlands,52.35,4.92,1980,38
NOR,Norway,59.92,10.75,1980,13
NZL,New Zealand,-41.3,174.78,1980,19
PAK,Pakistan,33.68,73.05,1980,6
PAN,Panama,8.97,-79.53,1980,0
PER,Peru,-12.05,-77.05,1980,0
PHL,Philippines,14.6,120.97,1980,1
POL,Poland,52.25,21.0,1980,146
PRI,Puerto Rico,18.47,-66.12,1980,1
PRK,North Korea,39.02,125.75,1980,12
PRT,Portugal,38.72,-9.13,1980,4
PRY,Paraguay,-25.27,-57.67,1980,0
QAT,Qatar,25.28,51.53,1980,0
ROU,Romania,44.43,26.1,1980,114
RUS,Russia,55.75,37.6,1980,742
SAU,Saudi Arabia,24.65,46.7,1980,0
SDN,Sudan,15.6,32.53,1980,0
SEN,Senegal,14.73,-17.63,1980,0
SGP,Singapore,1.28,103.85,1980,1
SMR,San Marino,43.93,12.42,1980,0
SRB,Serbia,44.83,20.5,1980,0
SUR,Suriname,5.83,-55.17,1980,0
SVK,Slovakia,48.15,17.12,1980,0
SVN,Slovenia,46.05,14.52,1980,0
SWE,Sweden,59.33,18.05,1980,57
SYR,Syria,33.5,36.3,1980,0
TGO,Togo,6.12,1.22,1980,0
THA,Thailand,13.75,100.52,1980,1
TJK,Tajikistan,38.55,68.77,1980,0
TKM,Turkmenistan,37.95,58.38,1980,0
TON,Tonga,-21.13,-175.2,1980,0
TTO,Trinidad and Tobago,10.65,-61.52,1980,4
TUN,Tunisia,36.8,10.18,1980,5
TUR,Turkey,39.93,32.87,1980,18
TZA,Tanzania,-6.8,39.28,1980,2
UGA,Uganda,0.32,32.55,1980,5
UKR,Ukraine,50.43,30.52,1980,0
URY,Uruguay,-34.85,-56.17,1980,1
USA,United States,38.88,-90.0,1980,468
UZB,Uzbekistan,41.32,69.25,1980,0
VEN,Venezuela,10.48,-66.87,1980,4
VIR,United States Virgin Islands,18.35,-64.93,1980,0
VNM,Vietnam,21.03,105.85,1980,0
WSM,Samoa,-13.82,-171.77,1980,0
XKX,Kosovo,42.67,21.17,1980,0
YGL,Yugoslavia,44.83,20.5,1980,38
ZAF,South Africa,-25.7,28.22,1980,3
ZMB,Zambia,-15.42,28.28,1980,0
ZWE,Zimbabwe,-17.82,31.03,1980,1
AFG,Afghanistan,34.52,69.18,1984,0
ARE,United Arab Emirates,24.47,54.37,1984,0
ARG,Argentina,-34.58,-58.67,1984,6
ARM,Armenia,40.17,44.5,1984,0
AUS,Australia,-35.27,149.13,1984,116
AUT,Austria,48.2,16.37,1984,20
AZE,Azerbaijan,40.38,49.87,1984,0
BDI,Burundi,-3.37,29.35,1984,0
BEL,Belgium,50.83,4.33,1984,24
BFA,Burkina Faso,12.37,-1.52,1984,0
BGR,Bulgaria,42.68,23.32,1984,115
BHR,Bahrain,26.23,50.57,1984,0
BHS,Bahamas,25.08,-77.35,1984,2
BLR,Belarus,53.9,27.57,1984,0
BMU,Bermuda,32.28,-64.78,1984,1
BRA,Brazil,-15.78,-47.92,1984,26
BRB,Barbados,13.1,-59.62,1984,0
BWA,Botswana,-24.63,25.9,1984,0
CAN,Canada,45.42,-75.7,1984,78
CHE,Switzerland,46.92,7.47,1984,34
CHL,Chile,-33.45,-70.67,1984,0
CHN,China,39.92,116.38,1984,35
CIV,Côte d'Ivoire,6.82,-5.27,1984,1
CMR,Cameroon,3.87,11.52,1984,2
COL,Colombia,4.6,-74.08,1984,4
CRI,Costa Rica,9.93,-84.08,1984,0
CUB,Cuba,23.12,-82.35,1984,46
CYP,Cyprus,35.17,33.37,1984,0
CZE,Czech Republic,49.81,15.47,1984,68
DEU,Germany,52.52,13.4,1984,603
DJI,Djibouti,11.58,43.15,1984,0
DNK,Denmark,55.67,12.58,1984,39
DOM,Dominican Republic,18.47,-69.9,1984,1
DZA,Algeria,36.75,3.05,1984,2
ECU,Ecuador,-0.22,-78.5,1984,0
EGY,Egypt,30.05,31.25,1984,3
ERI,Eritrea,15.33,38.93,1984,0
ESP,Spain,40.4,-3.68,1984,22
EST,Estonia,59.43,24.72,1984,0
ETH,Ethiopia,9.03,38.7,1984,10
FIN,Finland,60.17,24.93,1984,50
FJI,Fiji,-18.13,178.42,1984,0
FRA,France,48.87,2.33,1984,106
GAB,Gabon,0.38,9.45,1984,0
GBR,Great Britain,54.08,-1.65,1984,149
GEO,Georgia,41.68,44.83,1984,0
GHA,Ghana,5.55,-0.22,1984,3
GRC,Greece,37.98,23.73,1984,9
GRD,Grenada,12.05,-61.75,1984,0
GTM,Guatemala,14.62,-90.52,1984,0
GUY,Guyana,6.8,-58.15,1984,1
HKG,Hong Kong,22.4,114.11,1984,0
HRV,Croatia,45.8,16.0,1984,0
HUN,Hungary,47.5,19.08,1984,179
IDN,Indonesia,-6.17,106.82,1984,0
IND,India,28.6,77.2,1984,5
IRL,Ireland,53.32,-6.23,1984,5
IRN,Iran,35.7,51.42,1984,16
IRQ,Iraq,33.33,44.4,1984,1
ISL,Iceland,64.15,-21.95,1984,1
ISR,Israel,31.77,35.23,1984,0
ITA,Italy,41.9,12.48,1984,163
JAM,Jamaica,18.0,-76.8,1984,12
JOR,Jordan,31.95,35.93,1984,0
JPN,Japan,35.68,139.75,1984,159
KAZ,Kazakhstan,51.17,71.42,1984,0
KEN,Kenya,-1.28,36.82,1984,22
KGZ,Kyrgyzstan,42.87,74.6,1984,0
KOR,South Korea,37.55,126.98,1984,31
KWT,Kuwait,29.37,47.97,1984,0
LBN,Lebanon,33.87,35.5,1984,2
LKA,Sri Lanka,6.92,79.83,1984,0
LTU,Lithuania,54.68,25.32,1984,0
LVA,Latvia,56.95,24.1,1984,0
MAR,Morocco,34.02,-6.82,1984,3
MDA,Moldova,47.0,28.85,1984,0
MEX,Mexico,19.43,-99.13,1984,24
MKD,North Macedonia,41.6,21.74,1984,0
MNE,Montenegro,42.43,19.27,1984,0
MNG,Mongolia,47.92,106.92,1984,10
MOZ,Mozambique,-25.95,32.58,1984,0
MUS,Mauritius,-20.15,57.48,1984,0
MYS,Malaysia,3.17,101.7,1984,0
NAM,Namibia,-22.57,17.08,1984,0
NER,Niger,13.52,2.12,1984,1
NGA,Nigeria,9.08,7.53,1984,4
NLD,Netherlands,52.35,4.92,1984,52
NOR,Norway,59.92,10.75,1984,17
NZL,New Zealand,-41.3,174.78,1984,32
PAK,Pakistan,33.68,73.05,1984,7
PAN,Panama,8.97,-79.53,1984,0
PER,Peru,-12.05,-77.05,1984,1
PHL,Philippines,14.6,120.97,1984,1
POL,Poland,52.25,21.0,1984,146
PRI,Puerto Rico,18.47,-66.12,1984,3
PRK,North Korea,39.02,125.75,1984,12
PRT,Portugal,38.72,-9.13,1984,7
PRY,Paraguay,-25.27,-57.67,1984,0
QAT,Qatar,25.28,51.53,1984,0
ROU,Romania,44.43,26.1,1984,172
RUS,Russia,55.75,37.6,1984,742
SAU,Saudi Arabia,24.65,46.7,1984,0
SDN,Sudan,15.6,32.53,1984,0
SEN,Senegal,14.73,-17.63,1984,0
SGP,Singapore,1.28,103.85,1984,1
SMR,San Marino,43.93,12.42,1984,0
SRB,Serbia,44.83,20.5,1984,0
SUR,Suriname,5.83,-55.17,1984,0
SVK,Slovakia,48.15,17.12,1984,0
SVN,Slovenia,46.05,14.52,1984,0
SWE,Sweden,59.33,18.05,1984,78
SYR,Syria,33.5,36.3,1984,1
TGO,Togo,6.12,1.22,1984,0
THA,Thailand,13.75,100.52,1984,2
TJK,Tajikistan,38.55,68.77,1984,0
TKM,Turkmenistan,37.95,58.38,1984,0
TON,Tonga,-21.13,-175.2,1984,0
TTO,Trinidad and Tobago,10.65,-61.52,1984,4
TUN,Tunisia,36.8,10.18,1984,5
TUR,Turkey,39.93,32.87,1984,21
TZA,Tanzania,-6.8,39.28,1984,2
UGA,Uganda,0.32,32.55,1984,5
UKR,Ukraine,50.43,30.52,1984,0
URY,Uruguay,-34.85,-56.17,1984,1
USA,United States,38.88,-90.0,1984,648
UZB,Uzbekistan,41.32,69.25,1984,0
VEN,Venezuela,10.48,-66.87,1984,7
VIR,United States Virgin Islands,18.35,-64.93,1984,0
VNM,Vietnam,21.03,105.85,1984,0
WSM,Samoa,-13.82,-171.77,1984,0
XKX,Kosovo,42.67,21.17,1984,0
YGL,Yugoslavia,44.83,20.5,1984,59
ZAF,South Africa,-25.7,28.22,1984,3
ZMB,Zambia,-15.42,28.28,1984,1
ZWE,Zimbabwe,-17.82,31.03,1984,1
AFG,Afghanistan,34.52,69.18,1988,0
ARE,United Arab Emirates,24.47,54.37,1988,0
ARG,Argentina,-34.58,-58.67,1988,8
ARM,Armenia,40.17,44.5,1988,0
AUS,Australia,-35.27,149.13,1988,132
AUT,Austria,48.2,16.37,1988,21
AZE,Azerbaijan,40.38,49.87,1988,0
BDI,Burundi,-3.37,29.35,1988,0
BEL,Belgium,50.83,4.33,1988,26
BFA,Burkina Faso,12.37,-1.52,1988,0
BGR,Bulgaria,42.68,23.32,1988,153
BHR,Bahrain,26.23,50.57,1988,0
BHS,Bahamas,25.08,-77.35,1988,2
BLR,Belarus,53.9,27.57,1988,0
BMU,Bermuda,32.28,-64.78,1988,1
BRA,Brazil,-15.78,-47.92,1988,34
BRB,Barbados,13.1,-59.62,1988,0
BWA,Botswana,-24.63,25.9,1988,0
CAN,Canada,45.42,-75.7,1988,90
CHE,Switzerland,46.92,7.47,1988,39
CHL,Chile,-33.45,-70.67,1988,1
CHN,China,39.92,116.38,1988,65
CIV,Côte d'Ivoire,6.82,-5.27,1988,1
CMR,Cameroon,3.87,11.52,1988,2
COL,Colombia,4.6,-74.08,1988,5
CRI,Costa Rica,9.93,-84.08,1988,1
CUB,Cuba,23.12,-82.35,1988,46
CYP,Cyprus,35.17,33.37,1988,0
CZE,Czech Republic,49.81,15.47,1988,78
DEU,Germany,52.52,13.4,1988,749
DJI,Djibouti,11.58,43.15,1988,1
DNK,Denmark,55.67,12.58,1988,44
DOM,Dominican Republic,18.47,-69.9,1988,1
DZA,Algeria,36.75,3.05,1988,2
ECU,Ecuador,-0.22,-78.5,1988,0
EGY,Egypt,30.05,31.25,1988,3
ERI,Eritrea,15.33,38.93,1988,0
ESP,Spain,40.4,-3.68,1988,27
EST,Estonia,59.43,24.72,1988,0
ETH,Ethiopia,9.03,38.7,1988,10
FIN,Finland,60.17,24.93,1988,54
FJI,Fiji,-18.13,178.42,1988,0
FRA,France,48.87,2.33,1988,125
GAB,Gabon,0.38,9.45,1988,0
GBR,Great Britain,54.08,-1.65,1988,175
GEO,Georgia,41.68,44.83,1988,0
GHA,Ghana,5.55,-0.22,1988,3
GRC,Greece,37.98,23.73,1988,10
GRD,Grenada,12.05,-61.75,1988,0
GTM,Guatemala,14.62,-90.52,1988,0
GUY,Guyana,6.8,-58.15,1988,1
HKG,Hong Kong,22.4,114.11,1988,0
HRV,Croatia,45.8,16.0,1988,0
HUN,Hungary,47.5,19.08,1988,203
IDN,Indonesia,-6.17,106.82,1988,1
IND,India,28.6,77.2,1988,5
IRL,Ireland,53.32,-6.23,1988,5
IRN,Iran,35.7,51.42,1988,17
IRQ,Iraq,33.33,44.4,1988,1
ISL,Iceland,64.15,-21.95,1988,1
ISR,Israel,31.77,35.23,1988,0
ITA,Italy,41.9,12.48,1988,177
JAM,Jamaica,18.0,-76.8,1988,14
JOR,Jordan,31.95,35.93,1988,0
JPN,Japan,35.68,139.75,1988,174
KAZ,Kazakhstan,51.17,71.42,1988,0
KEN,Kenya,-1.28,36.82,1988,31
KGZ,Kyrgyzstan,42.87,74.6,1988,0
KOR,South Korea,37.55,126.98,1988,66
KWT,Kuwait,29.37,47.97,1988,0
LBN,Lebanon,33.87,35.5,1988,2
LKA,Sri Lanka,6.92,79.83,1988,0
LTU,Lithuania,54.68,25.32,1988,0
LVA,Latvia,56.95,24.1,1988,0
MAR,Morocco,34.02,-6.82,1988,6
MDA,Moldova,47.0,28.85,1988,0
MEX,Mexico,19.43,-99.13,1988,26
MKD,North Macedonia,41.6,21.74,1988,0
MNE,Montenegro,42.43,19.27,1988,0
MNG,Mongolia,47.92,106.92,1988,11
MOZ,Mozambique,-25.95,32.58,1988,0
MUS,Mauritius,-20.15,57.48,1988,0
MYS,Malaysia,3.17,101.7,1988,0
NAM,Namibia,-22.57,17.08,1988,0
NER,Niger,13.52,2.12,1988,1
NGA,Nigeria,9.08,7.53,1988,4
NLD,Netherlands,52.35,4.92,1988,64
NOR,Norway,59.92,10.75,1988,23
NZL,New Zealand,-41.3,174.78,1988,49
PAK,Pakistan,33.68,73.05,1988,8
PAN,Panama,8.97,-79.53,1988,0
PER,Peru,-12.05,-77.05,1988,2
PHL,Philippines,14.6,120.97,1988,2
POL,Poland,52.25,21.0,1988,164
PRI,Puerto Rico,18.47,-66.12,1988,3
PRK,North Korea,39.02,125.75,1988,12
PRT,Portugal,38.72,-9.13,1988,8
PRY,Paraguay,-25.27,-57.67,1988,0
QAT,Qatar,25.28,51.53,1988,0
ROU,Romania,44.43,26.1,1988,198
RUS,Russia,55.75,37.6,1988,880
SAU,Saudi Arabia,24.65,46.7,1988,0
SDN,Sudan,15.6,32.53,1988,0
SEN,Senegal,14.73,-17.63,1988,1
SGP,Singapore,1.28,103.85,1988,1
SMR,San Marino,43.93,12.42,1988,0
SRB,Serbia,44.83,20.5,1988,0
SUR,Suriname,5.83,-55.17,1988,1
SVK,Slovakia,48.15,17.12,1988,0
SVN,Slovenia,46.05,14.52,1988,0
SWE,Sweden,59.33,18.05,1988,91
SYR,Syria,33.5,36.3,1988,1
TGO,Togo,6.12,1.22,1988,0
THA,Thailand,13.75,100.52,1988,3
TJK,Tajikistan,38.55,68.77,1988,0
TKM,Turkmenistan,37.95,58.38,1988,0
TON,Tonga,-21.13,-175.2,1988,0
TTO,Trinidad and Tobago,10.65,-61.52,1988,4
TUN,Tunisia,36.8,10.18,1988,5
TUR,Turkey,39.93,32.87,1988,23
TZA,Tanzania,-6.8,39.28,1988,2
UGA,Uganda,0.32,32.55,1988,5
UKR,Ukraine,50.43,30.52,1988,0
URY,Uruguay,-34.85,-56.17,1988,1
USA,United States,38.88,-90.0,1988,749
UZB,Uzbekistan,41.32,69.25,1988,0
VEN,Venezuela,10.48,-66.87,1988,7
VIR,United States Virgin Islands,18.35,-64.93,1988,1
VNM,Vietnam,21.03,105.85,1988,0
WSM,Samoa,-13.82,-171.77,1988,0
XKX,Kosovo,42.67,21.17,1988,0
YGL,Yugoslavia,44.83,20.5,1988,74
ZAF,South Africa,-25.7,28.22,1988,3
ZMB,Zambia,-15.42,28.28,1988,1
ZWE,Zimbabwe,-17.82,31.03,1988,1
AFG,Afghanistan,34.52,69.18,1992,0
ARE,United Arab Emirates,24.47,54.37,1992,0
ARG,Argentina,-34.58,-58.67,1992,10
ARM,Armenia,40.17,44.5,1992,0
